licensetype	businessname	legaldescription	description	subtype	job_value
		LTS 8, 9, 10, BLK 13, D. T. DENNY'S NORTH SEATTLE REPLAT ADDITION.	Phased permit: Construction of a residential and live-work building with below grade parking and occupy, per plan.	MULTIFAMILY	$9,291,484.00
ELECTRICAL CONTRACTOR LICENSE	BUZZARD'S RIDGE GROUP LLC		INSTALL NEW 200 AMP PANEL IN BASEMENT OF SINGLE FAMILY HOME. INSTALL NEW SUB-PANEL IN NEW ADDITION PER PERMIT 6317413. WIRING OF NEW ADDITION	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	E C COMPANY		INSTALL OF COMBO BORES & CONDUIT GROUND FOR WALLACE FIELD - WAIVE PLAN REVIEW, OK BY PORTER	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	OBOT ELECTRIC LLC		REMODEL TO KITCHEN AND ADD LIGHT FIXTURES TO DINING ROOM	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	WIZARD ELECTRIC INCORPORATED		[UFER GROUND. ] PLEASE BRING TEST EQUIPMENT	SINGLE FAMILY / DUPLEX	
		BLOCKS 3-6 TGW POR BLK 2, VICTORY ADDN, TGW BLOCKS 53-55 & POR OF BLKS 56-58, DENNY HOYT'S ADDN; TGW PARCELS A-C, LBA #2407087, TGW BLKS.......SEE FILE	Construct interior alterations to existing Seattle Pacific University's Marsten Hall on the lower level subject to field inspection (STFI)/ per floor plan.	INSTITUTIONAL	$25,000.00
ELECTRICAL CONTRACTOR LICENSE	LIVE WIRE ELECTRIC LLC		ADDING 3 NEW CIRCUITS TO THE CHURCH.	COMMERCIAL	
		LOTS 7-12, BLOCK 11, D.T. DENNY'S NORTH SEATTLE ADD	Shop drawings for Metal Stair. (8.5 x 11 drawings)	COMMERCIAL	
GENERAL CONTRACTOR LICENSE	JOSH NIEDERBERGER CNTRTING LTD	LOT 1 & N 14.5' OF LOT 2, BLK 24, LAW'S SECOND	Construct additions and alterations to existing single family residence, per plan.	SINGLE FAMILY / DUPLEX	$114,753.00
		BLOCKS 3-6 TGW POR BLK 2, VICTORY ADDN, TGW BLOCKS 53-55 & POR OF BLKS 56-58, DENNY HOYT'S ADDN; TGW PARCELS A-C, LBA #2407087, TGW BLKS.......SEE FILE	Demolished to demo (Beegle Hall BLDG) all (STFI), per plans.	INSTITUTIONAL	
			Revision all unit type layout and area of retail building and occupy per plans.	COMMERCIAL	
GENERAL CONTRACTOR LICENSE	AVALONBAY COMMUNITIES INC		Dewatering	COMMERCIAL	
		BLOCKS 3-6 TGW POR BLK 2, VICTORY ADDN, TGW BLOCKS 53-55 & POR OF BLKS 56-58, DENNY HOYT'S ADDN; TGW PARCELS A-C, LBA #2407087, TGW BLKS.......SEE FILE	Land Use Application to allow three buildings, one, 46,450 sq. ft. 2-story performance hall, one, 55,903 sq. ft. 4-story academic center and one, 2,800 sq. ft. single story academic center in an environmentally critical area on the Seattle Pacific University campus. Project includes 4,042 cu. yds. of grading. Seventy-one parking spaces to be relocated elsewhere on the campus. Six structures to be demolished totaling 34,371 sq. ft. Review includes a Director's determination that the proposal is a minor amendment to the Major Institution Master Plan (MIMP). An addendum to the SPU Major Institution Master Plan has been prepared.	INSTITUTIONAL	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	BEST PLUMBING GROUP LLC		REPAIRING BURST PIPE (UP TO 40 FT OF PIPE)	SINGLE FAMILY / DUPLEX	
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	FISCHER PLUMBING CO INC, THE		REPAIR STORM SYSTEM	INSTITUTIONAL	
ELECTRICAL CONTRACTOR LICENSE	SEQUOYAH ELECTRIC LLC		47122 INSTALL 202 WORK STATION LOCATIONS	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	RWA ELECTRIC INC		RELOCATE EXISTING 200AMP SERVICE TO GARAGE WALL ADD 4 20AMP CIRCUITS IN GARAGE.	SINGLE FAMILY / DUPLEX	
		LOT 6, BLOCK 41, LAWS 2ND ADD	Revise permit 6165531 to mirror design and add a freestanding concrete wall.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	JOHNSON ELECTRIC INCORPORATED		INSTALL (2) NEW 225A CB'S IN EXISTING SWITCHGEAR. EXTEND (2) NEW FEEDERS TO (2) NEW PANELBOARDS. EXTEND NEW FEEDERS TO (4) NEW PIECES OF HVAC EQUIPMENT. INSTALL NEW FA DUCT DETECTORS AND CONNECT TO EXISTING FA SYSTEM	COMMERCIAL	
		PARCEL A, SP #3005691	Land use application to subdivide one parcel containing two single family residences into two parcels with one single family residence on each. Proposed parcel sizes are: A)3,046 sq.ft., B)2,453 sq.ft.		
ELEVATOR CONTRACTOR LICENSE	THYSSENKRUPP ELEVATOR CORP		Install new power unit, machine room & pit shut off valves and surge valve.		
ELECTRICAL CONTRACTOR LICENSE	PROTECTION & COMMUNICATNS INC		REPLACE EXISTING SECURITY SYSTEM (#0610-0186)	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	ENIGMA ELECTRIC CO		WIRE REMODEL - REF #6097330	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	METROPOLITAN SEWER SERVICE LLC		REPAIR	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC.	AIR CARE SYSTEMS		2ND STORY ADDITION AND REMODEL	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	VECA ELECTRIC COMPANY INC		INSTALL (2) PROJECTORS & (2) WALL PLATE THROUGH-OUT AREA. LOW VOLTAGE CABLING ONLY CM68127	COMMERCIAL	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	RESCUE ROOTER LLC		REPAIR EXISTING SIDE SEWER	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	LANDER ELECTRIC SERVICE LLC		ADD SUB PANEL & CIRCUIT WIRING IN GARAGE & DISCONNECT FOR HOT TUB	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	RELIANT ELECTRIC		WIRE RESIDENTIAL REMODEL/ ADDITION	SINGLE FAMILY / DUPLEX	
			CONSTRUCT DORMER ADDITION TO SINGLE FAMILY RESIDENCE PER PLOT PLAN AND SUBJECT TO FIELD INSPECTION (STFI)		
			ESTABLISH USE AS SINGLE FAMILY RESIDENCE CONSTRUCT ONE FAMILY DWELLING WITH ATTACHED GARAGE GRADE APPROX 100 CU YDS, CONSTRUCT RETAINING WALL, AND INSTALL SOLDIER PILES, ALL PER PLANS		
			REMODEL KITCHEN- NO CHANGE IN SIZE, CONFIGURATION TO EXISTING SINGLE FAMILY RESIDENCE (SFR) SUBJECT TO FIELD INSPECTION (STFI)		
			INTERIOR NON-STRUCTURAL ALTERATIONS OF THE MULTI- PURPOSE BLDG (BLDG #2) OF CHURCH. STFI.		
GENERAL CONTRACTOR LICENSE	TOEPFER CONSTRUCTION CO LLC	LOT 6, BLOCK 20, BIGELOWS ADD	Construct addition and alterations to existing single family residence, per plan.	SINGLE FAMILY / DUPLEX	$10,000.00
ELECTRICAL CONTRACTOR LICENSE	PRIME ELECTRIC INCORPORATED		INSTALL TWO (2) 20AMP 120V FEEDERS BELOW A RAISED FLOOR	COMMERCIAL	
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	CAMERONS ONE LLC		REPLACE RAIN LEADER TO SS	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	PRIME ELECTRIC INCORPORATED		ADD EQUIPMENT TO EXISTING DATA CENTER	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	MASTERS ELECTRIC & COM LLC		ELIMINATE KNOB & TUBE IN BASEMENT & UPGRADE WITH ROMEX, ADD LIGHTING/OUTLETS IN BASEMENT, REPLACE SOME EXISTING LIGHT FIXTURES, WIRE POWDER ROOM, ADD O/S OUTLETS.	SINGLE FAMILY / DUPLEX	
ELEVATOR CONTRACTOR LICENSE	THYSSENKRUPP ELEVATOR CORP		INSTALL CAR TOP HANDRAILS		
	BLANKET: FISHER PLAZA W ID#2	BLK 58, D.T. DENNY'S PARK ADDITION TO NORTH SEATTLE, EXC E 7' COND & DEEDED FOR 5TH AV N,TGW VAC ALLEY IN SD BLK (VO#121180)	Structural support and lateral bracing for computer room equipment in existing computer room, suite 420, per plan.	COMMERCIAL	$25,000.00
ELEVATOR CONTRACTOR LICENSE	THYSSENKRUPP ELEVATOR CORP		REPLACE OIL BUFFER IN CAR #2		
		E 80' OF LOT 7, BLOCK 44, BIGELOW'S ADDITION	Voluntary seismic retrofit to existing single family dwelling per project impact per plan.	SINGLE FAMILY / DUPLEX	$3,600.00
	BLANKET: FISHER PLAZA W ID#2	BLK 58, D.T. DENNY'S PARK ADDITION TO NORTH SEATTLE, EXC E 7' COND & DEEDED FOR 5TH AV N,TGW VAC ALLEY IN SD BLK (VO#121180)	Sprinklers for 6th floor. BIO- NEURONICS	COMMERCIAL	
	BLANKET: FISHER PLAZA W ID#2	BLK 58, D.T. DENNY'S PARK ADDITION TO NORTH SEATTLE, EXC E 7' COND & DEEDED FOR 5TH AV N,TGW VAC ALLEY IN SD BLK (VO#121180)	Blanket Permit for interior non-structural alterations for the 6th floor. BIO- NEURONICS	COMMERCIAL	
	VERIZON SELECT SERVICES INC		BLDG DATA CENTER - DATA CABLING BETWEEN PATCH PANELS - LADDER TRAY INSTALL	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	E H S LLC		WIRING OF NEW CONSTRUCTION & REMODEL OF EXISTING 1600A SERVICE, LIGHTING, DEVICES. 7/16/07 MVC: REVISION - CHANGING SERVICE WIRES. 07/18/07me- about to expire letter sent.	INSTITUTIONAL	
REFRIGERATION CONTRACTOR LIC.	UNITED SYSTEMS MECHANICAL LLC		INSTALL REFRIGERATION PIPING FOR (2) SPLIT SYSTEM A/C UNITS	COMMERCIAL	
			DUCTWORK REVISIONS TO EXISTING SYSTEMS.		
ELECTRICAL CONTRACTOR LICENSE	STATESIDE POWER INCORPORATED		CONNECT 2 GENERATOR TO CRANES 2X 1/2 HOUR INSPECTION OK PER TIM	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	MERIT ELECTRIC OF SPOKANE INC		INSTALL 200A TEMP POWER POLE - PROJ #2404869	MULTIFAMILY	
			ADD (1) 100 AMP SUB-PANEL IN BASEMENT AND UPDATE ELECTRICAL IN PORTIONS OF THE BASEMENT; BLDG PERMIT 739229	SINGLE FAMILY / DUPLEX	
	GUARDIAN SECURITY SYSTEMS INC		GET STARTED FIRE ALARM PERMIT: REF PERMIT #6021007	SINGLE FAMILY / DUPLEX	
			ADDITION AND REMODEL OF FRONT PORCH, INTERIOR ENTRY AND STAIRWAY ALL PER PLOT PLAN AND STFI. COMPLETE ABOVE WORK OF PERMIT: 714439		
			ALTER INTERIOR AT PARKING LEVEL 2 OF PHASE I BLDG BY INSTALLING 2 EMERGENCY GENERATOR & ELECTRICAL SWITCHING ROOM PER PLAN		
			EXISTING OFFICE BUILDING FUTURE CONSTRUCTION OF TWO OFFICE BUILDINGS AND HELIPORT OVER UNDERGROUND GARAGE.		
			INTERIOR ALTERATIONS TO KITCHEN OF SINGLE FAMILY RESIDENCE, SUBJECT TO FIELD INSPECTION (STFI)		
			REMODEL EXISTING BUILDING TO PROVIDE MECHANICAL COOLING FOR PRINT SHOP & VENTILATION TO OFFICE AREAS, PER PLANS		
			ONE STORY ADDITION TO SINGLE FAMILY RESIDENCE ADD GABLE TO DORMER & ALTER ROOFLINE PER PLOT PLAN & SUBJECT TO FIELD INSPECTION (STFI)		
			INSTALL FUME HOOD AND VAV BOX, PER PLANS		
			COMP 608790, ALTER & CONST DORMER ADDITION STFI		
			GRADING PORTION OF 8402974		
		W 300 FT OF S 145.2 FT OF N 950.4 FT OF NE 1/4 OF SE 1/4 LESS STS LESS S 72.60 FT OF E 130 FT THOF	Land Use Application to subdivide one parcel into three parcels of land in an environmentally critical area. Proposed parcel sizes are: A) 10,076.7 sq ft. B) 10,70.7 sq ft. C) 8,241.7 sq ft.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	ELITE ELECTRIC INCORPORATED		NEW SFR FAMILY RESIDENCE.	SINGLE FAMILY / DUPLEX	
			CONSTRUCT UNHEATED SUNROOM & DECK ADDITION TO SINGLE FAMILY RESIDENCE, PER PLANS		
			ESTABLISH USE AS A SFR CONSTRUCT A SINGLE FAMILY RESIDENCE W/GARAGE PER PLAN		
			ESTABLISH USE AS A SFR CONSTRUCT A SINGLE FAMILY RESIDENCE W/GARAGE PER PLAN		
	INFUSE DESIGN LLC	S 40 FT OF N 330 FT OF W 97.5 FT OF E 300 FT OF SW 1/4 OF NE 1/4	Seismic Retrofit (project impact) to existing single family residence, per plan	SINGLE FAMILY / DUPLEX	$2,000.00
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	ROTO ROOTER SERVICES COMPANY		SPOT REPAIR AND INSTALL CLEAN OUT	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	HOWSON'S CONTRACT SPEC INC		ADDITION TO REAR OF HOUSE, TWO FLOORS. 4/26/2011 BEW ADDED (9) SWITCHES, (16) RECEPTACLES, (17) LIGHTS, (1) SMOKE, (1) 30 AMP DED CIRCUIT.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	ELLIOTT BAY ELECTRIC		WIRING FOR BASEMENT MIL INCLUDING SEPARATE SERVICE. 9/9/09 BEW ADDED SERVICE TO UPGRADE UPSTAIRS PANEL	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	DIVINE POWER ELECTRICAL SRV		ADDITION BEDROOM	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	BOWIE ELECTRIC SVC&SUPPLY INC		MISCELLANEOUS REMODEL ITEMS. 5/1/08 BEW - CORRECTED OWNER AND ADDRESS (ORIGINALLY ISSUED FOR OWNER MORGAN ASHLEY @ 7522 19TH AVE NW).	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	ALL WAYS AIR CONTROL INC		INSTALL (2) NEW 90% AFUE GAS FURNACES	SINGLE FAMILY / DUPLEX	
			Closed as Incomplete - Expired Permit Reconstruct existing detached garage, existing non-conforming garage roof deck, new deck at rear of house and remodel basement in existing single family residence per site plan and subject to field inspections.	SINGLE FAMILY / DUPLEX	$26,800.00
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	RAYMARK PLUMBING & SEWER		REPAIR SIDE SEWER	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	C & R ELECTRIC INCORPORATED		MISC ELECTRICAL - REMODEL	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	NORTH CITY ELECTRIC		ROUGH IN 14X8 ADDITION. DEMO LIGHTS IN EXISTING CLOSET AREA. ADD J-BOX IN CLOSET AREA. MOVE EXISTING LIGHT FIXTURES IN BEDROOM. MOVE EXISTING RECEPTACLE FROM BEHIND DRESSER	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	BOWIE ELECTRIC SVC&SUPPLY INC		RESIDENTIAL PANEL CHANGE ONLY & MISC WIRING	SINGLE FAMILY / DUPLEX	
			CONSTRUCT EXCAVATION, SHORING & FOUNDATION AS PHASE I OF II FOR 5-STORY APARTMENT W/2 BASEMENT PARKING PER PLAN		
			REPLACE EXISTING RETAINING WALL PER PLAN (SEE ALSO PROJECT 9807157 FOR WALL AT 3027 4TH W)		
			ALTERATIONS TO BASEMENT OF SFR FOR NEW BEDROOMS, REC-ROOM & BATH, & SUBJECT TO FIELD INSPECTION		
			ESTABLISH USE AND CONSTRUCT SINGLE FAMILY DWELLING W/ATTACHED GARAGE PER PLANS		
			ONE STORY ADDITION TO SFR NON-STRUCTURAL INTERIOR ALTER TO SFR PER PLANS		
REFRIGERATION CONTRACTOR LIC., ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	HERMANSON COMPANY LLP		Provide fifty-five (55) diffusers with associated ductwork. STFI	COMMERCIAL	
	INTERFACE TECHNOLOGIES NW INC		INSTALLATION OF LOW VOLTAGE COMMUNICATIONS CABLING	COMMERCIAL	
LOW VOLTAGE CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	HOLADAY PARKS INC		INSTALL NEW PRESSURE VESSEL 8/5/13-DLP ADDED AUTOMATIC CERTIFICATION	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	TITAN ELECTRIC INC		INSTALL LV ONLY FOR 2 DEVICES TO EXISTING PANEL; THIS IS A JOINT VENTURE W/ GUARDIAN SECURITY & TITAN ELECTRIC. 4/16/13 JCB; ADDRESS CHANGED FROM 1424 4TH AVE.	COMMERCIAL	
	CANNON CONSTRUCTION INC		INSTALLATION OF 2 NEW TELECOMMUNICATION OUTLETS FOR COMPUTER AND PHONE USE	COMMERCIAL	
	BLANKET: US BANK CENTRE	PAR B & C, LBA #8803416,	Blanket Permit for interior non-structural alterations. Tenant improvement for Tetratech, 5th floor, per plan.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	TITAN ELECTRIC INC		INSTALL (5) NEW 2X4 FIXTURES, RELOCATE (2) 2X4 FIXTURES, INSTALL (3) NEW CAN LIGHTS, INSTALL (8) RECEPTACLES, INSTALL (3) SWITCHES	COMMERCIAL	
	TYCO INTEGRATED SECURITY LLC		REPLACE THE EXISTING ACCESS CONTROLS ON FLOORS 13 & 18--ADD ONE CARD READER TO THE 13TH FLOOR--RECONNECT THE EXISTING ACCESS DOOR DEVICES	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	EVERGREEN POWER SYSTEMS		TI, LIGHTS & POWER [JOB #3868]	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	WESTERN ELECTRICAL SERVICES		2HR INSPECTION FOR PIPE/CONDUCTORS IN SUPPORT OF NEW AUTOMATIC TRANSFER SWITCHES. 8/27/12 BEW CHANGED TO GET STARTED PENDING PLANS 6331416	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	SOLTERRA SYSTEMS		INSTALL NEW CIRCUIT FOR WA ST. LOTTERY MACHINE, NEW LIGHTING RETROFITS FOR ENERGY PROGRAM, CONNECT NEW EFFICIENT MOTORS FOR WALK IN COOLER, INSTALL CIRCUIT FOR CHEESE ISLAND, INSTALL CIRCUIT FOR KEG COOLER. MISCELLANEOUS ELECTRICAL CLEAN UP.	COMMERCIAL	
	BLANKET: BANK OF AMERICA TOWER	PAR A & B, SP #80-146, TGW LOTS 5-8, BLK 28, C.D. BOREN'S, TGW VAC ALLEY ADJ SD LOTS (VO 656), EXC SW 9' OF LOTS 5 & 8 COND FOR 4TH AV UNDER CO 13074	Blanket Permit for interior non-structural alterations for tenant DA Davidson Co. on flrs. 38,39, and 40).	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	PRIDE ELECTRIC INCORPORATED		RELOCATE SIX 20A CIRCUITS	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	TITAN ELECTRIC INC		INSTALL ACCESS CONTROLS ON ONE DOOR 120V HOOK UP TITAN JOB #126063	COMMERCIAL	
			INSTALLATION OF NEW SIDE SEWER FROM SEWER MAINLINE INTO NEW BUILDING SDOT UTILITY PERMIT #172666		
ELECTRICAL CONTRACTOR LICENSE	COCHRAN INCORPORATED		CEC #231284-17508; INSTALL (1) 20MAP CIRCUIT IN PARKING GARAGE.JOBSITE CONTACT: JOHN ADAMS (206) 963-2636	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	PRIDE ELECTRIC INCORPORATED		UPGRADE TENANT LIFE SAFETY SYSTEM; THIS IS A JOINT VENTURE W/ CONVERGINT TECH & PRIDE ELECTRIC.	COMMERCIAL	
	BLANKET: BANK OF AMERICA TOWER	PAR A & B, SP #80-146, TGW LOTS 5-8, BLK 28, C.D. BOREN'S, TGW VAC ALLEY ADJ SD LOTS (VO 656), EXC SW 9' OF LOTS 5 & 8 COND FOR 4TH AV UNDER CO 13074	Blanket Permit for interior non-structural alterations for Columbia Center mail room floor 3	COMMERCIAL	
GENERAL CONTRACTOR LICENSE	COLUMBIA FIRE INC		Stand alone sprinkler: add new concealed pendents to floors 13-16	COMMERCIAL	
			STFI - Mechanical to move fan coil to allow construction of new wall with duckwork, this is the inspectors call because this is a gray area.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	SPECIALTY ELECTRIC INC		Cancel per customer log 12-746	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	VALLEY ELEC CO OF MTVERNON INC		REMOVING/RELOCATING EXISTING SMOKES, SPEAKER/STROBES & VSP. JOINT VENTURE W/VALLEY ELECTRIC & CONVERGINT TECH	COMMERCIAL	
	SPL INTEGRATED SOLUTIONS		INSTALLATION OF LOW VOLTAGE AUDIO / VIDEO SYSTEM. 2/15/2012 BEW ADDRESS CORRECTION FROM 3408 1ST AV S	COMMERCIAL	
			Dismantle of precast concrete planks that make up an existing parking garage. These panels are loaded onto flat beds located on Lenora Street.		
	BLANKET: BANK OF AMERICA TOWER	PAR A & B, SP #80-146, TGW LOTS 5-8, BLK 28, C.D. BOREN'S, TGW VAC ALLEY ADJ SD LOTS (VO 656), EXC SW 9' OF LOTS 5 & 8 COND FOR 4TH AV UNDER CO 13074	Blanket Permit for new walls, doors and finishes. Floor 25 (CNA).	COMMERCIAL	
	WESTERN ENTRANCE TECH LLC		INSTALLATION OF AUTO DOOR OPERATORS AND ACTIVATION SWITCHES. MODIFY EXISTING ELECTRIC HARDWARE.	COMMERCIAL	
	GUARDIAN SECURITY SYSTEMS INC		ADDINTION TO EXISTING SYSTEM	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	VALLEY ELEC CO OF MTVERNON INC		GET STARTED PERMIT FOR F/A INSTALL. JOINT VENTURE W/VALLEY ELECTRIC & CONVERGINT TECH	COMMERCIAL	
			Relocating (35) diffusers & ducting	COMMERCIAL	
			INSTALLING (7) T-STATS	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	COCHRAN INCORPORATED		JOB #793065 - 30 DAY GET STARTED FOR BRANCH CKTS ONLY; OKAY PER TIM PORTER. PLAN REVIEW UNDER #6293440.	COMMERCIAL	
	R F I COMM & SECURITY SYSTEMS		DOL 5TH & YESLER 1ST FLOOR TURNSTILE ACS JOB #32-52-B0204	COMMERCIAL	
ELEVATOR CONTRACTOR LICENSE	OTIS ELEVATOR COMPANY		CONTROLLER, UNINTENDED MOTOR, DOOR OPERATOR & DETECTOR, COP, FCP, ACCESS KS TOC INSPECTION & HANDRAILS, SEISMIC SWITCH, LOAD WEIGHTING, CAB INTERIORS		
ELECTRICAL CONTRACTOR LICENSE	PRIDE ELECTRIC INCORPORATED		INSTALL CONDUIT ONLY FOR SECURITY CAMERAS IN PARKING GARAGE (LOW VOLTAGE CABLING BY OTHERS)	COMMERCIAL	
GENERAL CONTRACTOR LICENSE	HYBRID ASSEMBLY LLC	POR OF UNIVERSITY PLAT (VOLUME 1-33) , A.A. DENNY'S THIRD, LYG NE OF UNIVERSITY ST, E OF 5TH AV & SE OF UNION ST.DENNY A A-D C # 40 & POR BORENS C D-D C # 41 DAF BEG AT TRACT COR OF SD DC # 40 & NW COR OF DC # 41 TH S 32-15-00 E 303.60 FT TH N 57-45-00 E 480.48 FT TO N LN OF DC # 41 TH N 57-45-00 E 179.52 FT TH N 32-25-00 W 660 FT TH S 57-45-00 W 660 FT THS 32-25-00 E 356.4 FT TO BEG LESS STS & ALLEY TGW VAC ALLEY BY ORD # 93906 & 98222 LESS ALL BLK BOUNDED BY UNION ST ON THE N 4TH AVE ON THE W SENECA ST ON THE S & 5TH AVE ON THE E	Tenant Improvement to office space, suite 459 per floor plan.Subject to field inspections. STFI	COMMERCIAL	$10,000.00
	BLANKET: SECURITY PACIFIC BANK	POR OF UNIVERSITY PLAT, A.A. DENNY'S THIRD, LYG SE OF UNION ST, NE OF 4TH AVE, NW OF UNIVERSITY ST & SW OF 5TH AVE, DENNY A #40	Blanket Permit for interior non-structural alterations on 12th floor for Nahwatzel.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	BEDDOW ELECTRICAL SRVS CO INC		30 DAY GET STARTED FOR BRANCH CKTS ONLY; OKAY PER TIM PORTER. PLAN REVIEW UNDER #6285343. [10TH FLR]	COMMERCIAL	
	ENTRANCE CONTROLS INC		Cancel per customer log 11-470	COMMERCIAL	
GENERAL CONTRACTOR LICENSE	PATRIOT FIRE PROTECTION INC		Stand Alone Sprinklers: Modify fire sprinklers for tenant improvement on 33rd floor, per plan.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	MCKINSTRY ELECTRIC		INSTALLATION OF (4) ELECTRIC CAR CHARGERS	COMMERCIAL	
REFRIGERATION CONTRACTOR LIC.	BELLEVUE MECHANICAL INC	ALL OF BLK 22, C.D. BOREN'S ADDITION, EXC POR COND FOR 4TH AV UNDER CO 13074, TGW SD BLK'S VAC ALLEY (VO 100379)	Install (22) new dual duct terminal units, install (1) new water source heat pump, and all associated ductwork, grilles & diffusers	COMMERCIAL	
	ADT SECURITY SERVICES INC		INSTALLATION OF LOW VOLTAGE SECURITY CCTV AND ACCESS CONTROL EQUIPMENT LOCATED ON THE 17TH FLOOR	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	BEDDOW ELECTRICAL SRVS CO INC		30 DAY GET STARTED FOR BRANCH CKTS ONLY; OKAY PER TIM PORTER. PLAN REVIEW UNDER #6277728.	COMMERCIAL	
		BLK 24, C.D. BOREN'S, TGW VAC ALLEY LYG IN SD BLK	Non structural interior alterations to 17th floor per floor plan and subject to field inspection	COMMERCIAL	$15,000.00
		PAR A & B, SP #80-146, TGW LOTS 5-8, BLK 28, C.D. BOREN'S, TGW VAC ALLEY ADJ SD LOTS (VO 656), EXC SW 9' OF LOTS 5 & 8 COND FOR 4TH AV UNDER CO 13074	CLOSED AS INCOMPLETE - EXPIRED PERMIT. Construct interior non-structural alterations to 11th floor of existing commercial building (AECOM), per floor plan and subject to field inspection, STFI.	COMMERCIAL	$18,000.00
	BLANKET: BANK OF AMERICA TOWER	PAR A & B, SP #80-146, TGW LOTS 5-8, BLK 28, C.D. BOREN'S, TGW VAC ALLEY ADJ SD LOTS (VO 656), EXC SW 9' OF LOTS 5 & 8 COND FOR 4TH AV UNDER CO 13074	Blanket Permit for interior non-structural alterations to the 4th floor suite #410. For Square 1 Bank, per plans.	COMMERCIAL	
		PAR B & C, LBA #8803416,	Change use from retail to restaurant and construct non-structural tenant improvements for (TCBY) in Suite #201, 2nd floor, US Bank Tower and occupy per plans.	COMMERCIAL	$90,438.00
	BLANKET: SECURITY PACIFIC BANK	POR OF UNIVERSITY PLAT, A.A. DENNY'S THIRD, LYG SE OF UNION ST, NE OF 4TH AVE, NW OF UNIVERSITY ST & SW OF 5TH AVE, DENNY A #40	Blanket permit for interior non-structural alterations to floors 16 and 17 for Whitepages.com.	COMMERCIAL	
